pedido_id,codigo,descricao,quantidade,valor_unitario,total_item
25336667446,NB-TAT-50x50-20-BRN,Tatame 50x50cm 20mm - NB Cor:Branco,9,14,126
25315128420,MAX50X50X20-AZBB,Tatame 50x50cm 20mm - MX Cor:Azul BB,4,14,56
25315128420,MAX50X50X20-AM,Tatame 50x50cm 20mm - MX Cor:Amarelo,4,14,56
25315128420,MAX50X50X20-VDG,Tatame 50x50cm 20mm - MX Cor:Verde Grama,4,14,56
25314941858,NB-TAT-50x50-20-VML,Tatame 50x50cm 20mm - NB Cor:Verde Militar,5,14,70
25314941858,NB-TAT-50x50-20-SLM,Tatame 50x50cm 20mm - NB Cor:Salmon,4,14,56
25313691954,CAR-MES,Cartelas Educativas Modelo:Meses e Estações,1,5,5
25313691954,NB-TAT-50x50-20-RSP,Tatame 50x50cm 20mm - NB Cor:Rosa Pink,6,14,84
25313691954,NB-TAT-50x50-20-BRG,Tatame 50x50cm 20mm - NB Cor:Beringela,6,14,84
25309065777,TAT-100x100-20-PT,Tatame 100x100cm 20mm Cor:Preto,10,65,650
25308042235,MAX50X50X20-AZ,Tatame 50x50cm 20mm - MX Cor:Azul,1,22,22
25308042235,MAX50X50X20-VDG,Tatame 50x50cm 20mm - MX Cor:Verde Grama,1,22,22
25308042235,MAX50X50X20-AM,Tatame 50x50cm 20mm - MX Cor:Amarelo,1,22,22
25308042235,MAX50X50X20-LLBB,Tatame 50x50cm 20mm - MX Cor:Lilas BB,2,22,44
25308042235,MAX50X50X20-CZ,Tatame 50x50cm 20mm - MX Cor:Cinza,1,22,22
25308042235,MAX50X50X20-VB,Tatame 50x50cm 20mm - MX Cor:Verde Bandeira,1,22,22
25308042235,MAX50X50X20-LR,Tatame 50x50cm 20mm - MX Cor:Laranja,1,22,22
25308031547,TAT-50x50-15-PT,Tatame 50x50cm 15mm Cor:Preto,4,10,40
25308020439,NB-TAT-50x50-20-VML,Tatame 50x50cm 20mm - NB Cor:Verde Militar,20,14,280
25305831724,NB-TAT-100x100-10-VRG,Tatame 100x100cm 10mm - NB Cor:Verde Grama,1,25,25
25302671051,TAT-50x50-10-BRF,Tatame 50x50cm 10mm Cor:Rosa Flúor,1,12,12
25299334806,FLUT-200x100-30MM-VM,Tapete Flutuante EVA 200x100cm 30mm Cor:Vermelho,1,239.9,239.9
25299031232,FLUT-100x100-30MM-AM,Tapete Flutuante EVA 100x100cm 30mm Cor:Amarelo,2,139.9,279.8
25297354697,TAP-ALF-30X30-8MM-26P,Tapete EVA Alfabeto Infantil 30x30cm 8mm (26 Peças),1,139,139
25297354697,EVA-NUM-30X30X8-10P,Tapete EVA Numérico Infantil 30x30cm 8mm (10 Peças),1,55,55
25297353533,PRN-42x28-30MM-AZ,Prancha de Natação 42x28cm 30mm Cor:Azul,1,29.9,29.9
25288622791,NB-TAT-50x50-20-VRA,Tatame 50x50cm 20mm - NB Cor:Verde Água,12,22,264
25288622791,NB-TAT-50x50-20-VML,Tatame 50x50cm 20mm - NB Cor:Verde Militar,12,22,264
25287208113,TAT-100x100-10-VDCL,Tatame 100x100cm 10mm Cor:Verde Grama,1,35,35
25287208113,TAT-100x100-10-RS,Tatame 100x100cm 10mm Cor:Rosa,1,35,35
25287208113,TAT-100x100-10-LJ,Tatame 100x100cm 10mm Cor:Laranja,1,35,35
25287208113,TAT-100x100-10-AM,Tatame 100x100cm 10mm Cor:Amarelo,1,35,35
25287171212,TAT-100x100-10-VDCL,Tatame 100x100cm 10mm Cor:Verde Grama,1,39.9,39.9
25287171212,TAT-100x100-10-RS,Tatame 100x100cm 10mm Cor:Rosa,1,39.9,39.9
25287171212,TAT-100x100-10-LJ,Tatame 100x100cm 10mm Cor:Laranja,1,39.9,39.9
25287171212,TAT-100x100-10-AM,Tatame 100x100cm 10mm Cor:Amarelo,1,39.9,39.9
25281345673,EVA-PASSCID-200100-05,Esteira Passeio pela Cidade 200×100cm 5mm,1,99,99
25281345673,TAT-50x50-10-VGM,Tatame 50x50cm 10mm Cor:Verde Grama,2,12,24
25281345673,TAT-50x50-10-VM,Tatame 50x50cm 10mm Cor:Vermelho,2,12,24
25281345673,TAT-50x50-10-AM,Tatame 50x50cm 10mm Cor:Amarelo,2,12,24
25281345673,TAT-50x50-10-AZ,Tatame 50x50cm 10mm Cor:Azul,2,12,24
25280247256,TAT-50x50-10-RBB,Tatame 50x50cm 10mm Cor:Rosa BB,2,12,24
25277317048,TAT-50x50-10-RBB,Tatame 50x50cm 10mm Cor:Rosa BB,2,11,22
25267858396,FLUT-100x100-30MM-VM,Tapete Flutuante EVA 100x100cm 30mm Cor:Vermelho,1,139.9,139.9
25267858396,FLUT-100x100-30MM-AM,Tapete Flutuante EVA 100x100cm 30mm Cor:Amarelo,1,139.9,139.9
25254002704,TAT-50x50-10-LL,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Lilás,6,12,72
25254002704,TAT-50x50-10-RBB,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Rosa BB,6,12,72
25246555084,TAT-50x50-10-AZ,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Azul,4,12,48
25246555084,TAT-50x50-10-AZBB,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Azul BB,4,12,48
25246555084,TAT-50x50-10-AZC,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Azul Ciano,4,12,48
25238014862,TAT-50x50-10-VGM,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Verde Grama,4,12,48
25238014862,TAT-50x50-10-RBB,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Rosa BB,4,12,48
25238014862,TAT-50x50-10-LR,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Laranja,4,12,48
25237996730,TAT-50x50-10-PT,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Preto,8,12,96
25237697462,FLUT-100x100-30MM-VM,"Tapete Flutuante EVA 100x100cm – 30mm | Piscina, Lazer e Atividades Aquáticas Cor:Vermelho",1,139.9,139.9
25237611448,TAT-100x100-40-PT,Monte seu Kit - Tatame EVA 100x100cm 40mm Cor:Preto,4,145,580
25236576602,NB-TAT-50x50-20-VRL,NB - Tatame 50x50x20mm Cor:Vermelho,30,12,360
25236376160,TAT-100x100-20-PT,Monte seu Kit - Tatame EVA 100x100cm 20mm Cor:Preto,2,70,140
25236370923,EVA-JDV,Cartela EVA  - Jogo da Velha,1,5,5
25236113931,EVA-TART,Cartela EVA  - Jogo da Tartaruga,1,5,5
25236113931,EVA-VOG,Cartela EVA  - Jogo das Vogais,1,5,5
25232919216,FLUT-100x100-30MM-AZ,"Tapete Flutuante EVA 100x100cm – 30mm | Piscina, Lazer e Atividades Aquáticas Cor:Azul",3,139.9,419.7
25227065766,TAT-50x50-10-RS,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Rosa,3,12,36
25227065766,TAT-50x50-10-AZ,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Azul,3,12,36
25225812516,FLUT-200x100-30MM-AM,"Tapete Flutuante EVA 200x100cm – 30mm | Piscina, Lazer e Atividades Aquáticas Cor:Amarelo",1,239.9,239.9
25222163117,TAT-50x50-10-PT,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Preto,4,12,48
25216804972,MAX50X50X20-CZ,EVA MAX - Tatame EVA 50x50cm 20mm Cor:Cinza,9,22,198
25216204154,TAT-100x100-20-AZR,Monte seu Kit - Tatame EVA 100x100cm 20mm Cor:Azul,1,67.9,67.9
25207157964,TAT-50x50-10-AM,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Amarelo,2,12,24
25207157964,TAT-50x50-10-VGM,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Verde Grama,1,12,12
25207157964,TAT-50x50-10-VRB,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Verde Bandeira,1,12,12
25207157964,TAT-50x50-10-AZ,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Azul,3,12,36
25207157964,TAT-50x50-10-AZC,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Azul Ciano,1,12,12
25207157964,TAT-50x50-10-VM,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Vermelho,4,12,48
25207157964,TAT-50x50-10-CN,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Cenoura,3,12,36
25207157964,TAT-50x50-10-LR,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Laranja,1,12,12
25207157964,TAT-50x50-10-LBB,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Lilás BB,2,12,24
25207157964,TAT-50x50-10-LL,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Lilás,1,12,12
25207157964,TAT-50x50-10-BRF,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Rosa Flúor,3,12,36
25207157964,TAT-50x50-10-RBB,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Rosa BB,2,12,24
25205793175,NB-TAT-50x50-20-VRB,NB - Tatame 50x50x20mm Cor:Verde Bandeira,60,12,720
25193359334,TAT-50x50-10-AM,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Amarelo,1,12,12
25193359334,TAT-50x50-10-CN,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Cenoura,1,12,12
25191308668,GBA505010-K9-1-1,Kit de 4 a 20 Peças - Tatame EVA 50x50cm 20mm - 9 peças - Mais vendido,1,187.2,187.2
25190570655,TAT-100x100-20-RS,Monte seu Kit - Tatame EVA 100x100cm 20mm Cor:Rosa,1,70,70
25190570655,TAT-100x100-20-VDES,Monte seu Kit - Tatame EVA 100x100cm 20mm Cor:Verde Bandeira,1,70,70
25190570655,TAT-100x100-20-VR,Monte seu Kit - Tatame EVA 100x100cm 20mm Cor:Vermelho,1,70,70
25190570655,TAT-100x100-20-AZR,Monte seu Kit - Tatame EVA 100x100cm 20mm Cor:Azul,1,70,70
25185284706,TAT-50x50-10-AM,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Amarelo,2,12,24
25185284706,TAT-50x50-10-AZBB,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Azul BB,2,12,24
25185284706,TAT-50x50-10-VBB,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Verde BB,4,12,48
25185284706,TAT-50x50-10-VM,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Vermelho,2,12,24
25185284706,TAT-50x50-10-CN,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Cenoura,2,12,24
25184612634,FLUT-100x100-30MM-AZ,"Tapete Flutuante EVA 100x100cm – 30mm | Piscina, Lazer e Atividades Aquáticas Cor:Azul",1,139.9,139.9
25183977129,TAT-50x50-10-RS,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Rosa,4,12,48
25183977129,TAT-50x50-10-AM,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Amarelo,3,12,36
25183977129,TAT-50x50-10-AZBB,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Azul BB,3,12,36
25183977129,TAT-50x50-10-VRB,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Verde Bandeira,3,12,36
25183977129,TAT-50x50-10-AZ,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Azul,3,12,36
25183977129,TAT-50x50-10-LL,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Lilás,3,12,36
25183977129,TAT-50x50-10-LR,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Laranja,3,12,36
25183977129,TAT-50x50-10-VGM,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Verde Grama,3,12,36
25183977129,TAT-50x50-10-VM,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Vermelho,3,12,36
25183959794,TAT-50x50-20-AZBB,Monte seu Kit - Tatame EVA 50x50cm 20mm Cor:Azul BB,5,22,110
25183959794,TAT-50x50-20-AZM,Monte seu Kit - Tatame EVA 50x50cm 20mm Cor:Azul Marinho,4,22,88
25183959794,TAT-50x50-20-AZRY,Monte seu Kit - Tatame EVA 50x50cm 20mm Cor:Azul,4,22,88
25183954645,EVA-ANI-30X30-8MM-09P,Tapete EVA Animais Infantil 30x30cm – 8mm (9 Peças),1,49,49
25183954645,EVA-NUM-30X30X8-10P,Tapete EVA Numérico Infantil 30x30cm – 8mm (10 Peças),1,55,55
25183731555,TAT-50x50-10-LL,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Lilás,1,12,12
25183731555,TAT-50x50-10-AMB,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Amarelo BB,2,12,24
25183731555,TAT-50x50-10-RBB,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Rosa BB,1,12,12
25169601968,EVA-DOM,Cartela EVA  - Jogo de Dominó,2,5,10
25169601968,TAT-100x100-20-RS,Monte seu Kit - Tatame EVA 100x100cm 20mm Cor:Rosa,3,70,210
25169601968,TAT-100x100-20-LJ,Monte seu Kit - Tatame EVA 100x100cm 20mm Cor:Laranja,2,70,140
25169601968,TAT-100x100-20-VDES,Monte seu Kit - Tatame EVA 100x100cm 20mm Cor:Verde Bandeira,2,70,140
25169601968,TAT-100x100-20-VR,Monte seu Kit - Tatame EVA 100x100cm 20mm Cor:Vermelho,2,70,140
25167395328,FLUT-100x100-30MM-LL,"Tapete Flutuante EVA 100x100cm – 30mm | Piscina, Lazer e Atividades Aquáticas Cor:Lilás",1,139.9,139.9
25158284900,CART-MAPA-BR-8MM,Cartela EVA - Mapa do Brasil,1,5,5
